rank,surface,count,share,cum_share,tags
789,으셨기,7,1.1316507518849259e-06,0.9996960709409224,
790,끔,7,1.1316507518849259e-06,0.9996972025916743,
791,라죠,7,1.1316507518849259e-06,0.9996983342424262,
792,겄,7,1.1316507518849259e-06,0.999699465893178,
793,련다,7,1.1316507518849259e-06,0.9997005975439299,
794,십사,7,1.1316507518849259e-06,0.9997017291946818,
795,암직,7,1.1316507518849259e-06,0.9997028608454337,
796,가로,7,1.1316507518849259e-06,0.9997039924961856,
797,서라도,7,1.1316507518849259e-06,0.9997051241469375,
798,라가,7,1.1316507518849259e-06,0.9997062557976893,
799,에용,7,1.1316507518849259e-06,0.9997073874484412,
800,치만,7,1.1316507518849259e-06,0.9997085190991931,
801,애요,7,1.1316507518849259e-06,0.999709650749945,
802,신지라,7,1.1316507518849259e-06,0.9997107824006969,
803,는다든가,7,1.1316507518849259e-06,0.9997119140514488,
804,멍,7,1.1316507518849259e-06,0.9997130457022007,
805,려구,7,1.1316507518849259e-06,0.9997141773529525,
806,나고,7,1.1316507518849259e-06,0.9997153090037044,
807,실려면,7,1.1316507518849259e-06,0.9997164406544563,
808,내,7,1.1316507518849259e-06,0.9997175723052082,
809,신가,7,1.1316507518849259e-06,0.9997187039559601,
810,는단,7,1.1316507518849259e-06,0.999719835606712,
811,습니다는,7,1.1316507518849259e-06,0.9997209672574638,
812,시요,7,1.1316507518849259e-06,0.9997220989082157,
813,솝,7,1.1316507518849259e-06,0.9997232305589676,
814,라데,7,1.1316507518849259e-06,0.9997243622097195,
815,잡,6,9.69986358758508e-07,0.9997253321960782,
816,돠,6,9.69986358758508e-07,0.999726302182437,
817,곡,6,9.69986358758508e-07,0.9997272721687958,
818,십시다,6,9.69986358758508e-07,0.9997282421551545,
819,일까요,6,9.69986358758508e-07,0.9997292121415132,
820,여요,6,9.69986358758508e-07,0.999730182127872,
821,잖,6,9.69986358758508e-07,0.9997311521142308,
822,실수록,6,9.69986358758508e-07,0.9997321221005895,
823,신지요,6,9.69986358758508e-07,0.9997330920869483,
824,서에,6,9.69986358758508e-07,0.9997340620733071,
825,신다니,6,9.69986358758508e-07,0.9997350320596659,
826,랄지,6,9.69986358758508e-07,0.9997360020460245,
827,어나,6,9.69986358758508e-07,0.9997369720323833,
828,아서라도,6,9.69986358758508e-07,0.9997379420187421,
829,지고,6,9.69986358758508e-07,0.9997389120051008,
830,일랑,6,9.69986358758508e-07,0.9997398819914596,
831,라요,6,9.69986358758508e-07,0.9997408519778184,
832,으면서도,6,9.69986358758508e-07,0.9997418219641772,
833,라네,6,9.69986358758508e-07,0.9997427919505358,
834,으심을,6,9.69986358758508e-07,0.9997437619368946,
835,을진,6,9.69986358758508e-07,0.9997447319232534,
836,라길래,6,9.69986358758508e-07,0.9997457019096121,
837,으란,6,9.69986358758508e-07,0.9997466718959709,
838,는걸,6,9.69986358758508e-07,0.9997476418823297,
839,렀으며,6,9.69986358758508e-07,0.9997486118686885,
840,어든,6,9.69986358758508e-07,0.9997495818550471,
841,는다기,6,9.69986358758508e-07,0.9997505518414059,
842,있는,6,9.69986358758508e-07,0.9997515218277647,
843,앳,6,9.69986358758508e-07,0.9997524918141234,
844,니다만,6,9.69986358758508e-07,0.9997534618004822,
845,라지,6,9.69986358758508e-07,0.999754431786841,
846,더면,6,9.69986358758508e-07,0.9997554017731998,
847,이니,6,9.69986358758508e-07,0.9997563717595584,
848,으리요,6,9.69986358758508e-07,0.9997573417459172,
849,이라,6,9.69986358758508e-07,0.999758311732276,
850,는지도,6,9.69986358758508e-07,0.9997592817186348,
851,으려다가,6,9.69986358758508e-07,0.9997602517049935,
852,드람,6,9.69986358758508e-07,0.9997612216913523,
853,느냐며,6,9.69986358758508e-07,0.9997621916777111,
854,으셨으니,6,9.69986358758508e-07,0.9997631616640698,
855,구리,6,9.69986358758508e-07,0.9997641316504285,
856,긔,6,9.69986358758508e-07,0.9997651016367873,
857,마따나,6,9.69986358758508e-07,0.9997660716231461,
858,그러,6,9.69986358758508e-07,0.9997670416095048,
859,잖습니까,6,9.69986358758508e-07,0.9997680115958636,
860,옵니다,6,9.69986358758508e-07,0.9997689815822224,
861,더이,6,9.69986358758508e-07,0.9997699515685811,
862,디야,6,9.69986358758508e-07,0.9997709215549399,
863,렵니까,6,9.69986358758508e-07,0.9997718915412986,
864,둔,5,8.0832196563209e-07,0.9997726998632642,
865,을려면,5,8.0832196563209e-07,0.9997735081852299,
866,치곤,5,8.0832196563209e-07,0.9997743165071955,
867,으나마,5,8.0832196563209e-07,0.9997751248291612,
868,에여,5,8.0832196563209e-07,0.9997759331511268,
869,디시,5,8.0832196563209e-07,0.9997767414730924,
870,리아,5,8.0832196563209e-07,0.9997775497950581,
871,우다,5,8.0832196563209e-07,0.9997783581170236,
872,구레,5,8.0832196563209e-07,0.9997791664389893,
873,마지,5,8.0832196563209e-07,0.9997799747609549,
874,라던데,5,8.0832196563209e-07,0.9997807830829206,
875,을는지,5,8.0832196563209e-07,0.9997815914048862,
876,는다는데,5,8.0832196563209e-07,0.9997823997268518,
877,자구,5,8.0832196563209e-07,0.9997832080488175,
878,더란,5,8.0832196563209e-07,0.9997840163707831,
879,더가,5,8.0832196563209e-07,0.9997848246927488,
880,고사,5,8.0832196563209e-07,0.9997856330147143,
881,외다,5,8.0832196563209e-07,0.99978644133668,
882,으려고요,5,8.0832196563209e-07,0.9997872496586456,
883,곰,5,8.0832196563209e-07,0.9997880579806112,
884,드만,5,8.0832196563209e-07,0.9997888663025769,
885,더랍니다,5,8.0832196563209e-07,0.9997896746245425,
