rank,surface,count,share,cum_share,tags
504,얀,24,3.866473278561518e-06,0.9990092162223686,
505,유,24,3.866473278561518e-06,0.9990130826956471,
506,라곤,24,3.866473278561518e-06,0.9990169491689257,
507,더군,24,3.866473278561518e-06,0.9990208156422042,
508,룬,24,3.866473278561518e-06,0.9990246821154829,
509,모,24,3.866473278561518e-06,0.9990285485887614,
510,드락,24,3.866473278561518e-06,0.99903241506204,
511,손,23,3.705370225288121e-06,0.9990361204322653,
512,달까,23,3.705370225288121e-06,0.9990398258024905,
513,이라던가,23,3.705370225288121e-06,0.9990435311727158,
514,려야,23,3.705370225288121e-06,0.9990472365429411,
515,는답니다,23,3.705370225288121e-06,0.9990509419131665,
516,앗,23,3.705370225288121e-06,0.9990546472833917,
517,멘,23,3.705370225288121e-06,0.999058352653617,
518,그라,23,3.705370225288121e-06,0.9990620580238423,
519,셨었,23,3.705370225288121e-06,0.9990657633940676,
520,으리라는,23,3.705370225288121e-06,0.9990694687642928,
521,고도,22,3.544267172014724e-06,0.9990730130314649,
522,랄까요,22,3.544267172014724e-06,0.9990765572986369,
523,다니까,22,3.544267172014724e-06,0.999080101565809,
524,수다,22,3.544267172014724e-06,0.9990836458329809,
525,라네요,22,3.544267172014724e-06,0.9990871901001529,
526,여야만,22,3.544267172014724e-06,0.999090734367325,
527,래요,21,3.3831641187413276e-06,0.9990941175314437,
528,게라도,21,3.3831641187413276e-06,0.9990975006955625,
529,으셨어요,21,3.3831641187413276e-06,0.9991008838596812,
530,인즉,21,3.3831641187413276e-06,0.9991042670238,
531,으니깐,21,3.3831641187413276e-06,0.9991076501879187,
532,아서다,21,3.3831641187413276e-06,0.9991110333520374,
533,으려니,21,3.3831641187413276e-06,0.9991144165161562,
534,다면서요,21,3.3831641187413276e-06,0.9991177996802749,
535,리아,20,3.2220610654679312e-06,0.9991210217413403,
536,엿,20,3.2220610654679312e-06,0.9991242438024058,
537,는군,20,3.2220610654679312e-06,0.9991274658634712,
538,으리,20,3.2220610654679312e-06,0.9991306879245367,
539,고파,20,3.2220610654679312e-06,0.9991339099856023,
540,기엔,20,3.2220610654679312e-06,0.9991371320466677,
541,구먼,20,3.2220610654679312e-06,0.9991403541077332,
542,교,20,3.2220610654679312e-06,0.9991435761687987,
543,영,20,3.2220610654679312e-06,0.9991467982298641,
544,올,19,3.0609580121945344e-06,0.9991498591878762,
545,으신다,19,3.0609580121945344e-06,0.9991529201458885,
546,으셨으면,19,3.0609580121945344e-06,0.9991559811039007,
547,는고,19,3.0609580121945344e-06,0.9991590420619129,
548,으니라,19,3.0609580121945344e-06,0.999162103019925,
549,다던데,19,3.0609580121945344e-06,0.9991651639779373,
550,리만큼,19,3.0609580121945344e-06,0.9991682249359495,
551,다던지,19,3.0609580121945344e-06,0.9991712858939616,
552,이라던지,19,3.0609580121945344e-06,0.9991743468519738,
553,다죠,19,3.0609580121945344e-06,0.999177407809986,
554,랏,19,3.0609580121945344e-06,0.9991804687679983,
555,다든지,19,3.0609580121945344e-06,0.9991835297260104,
556,있,18,2.899854958921138e-06,0.9991864295809694,
557,야죠,18,2.899854958921138e-06,0.9991893294359283,
558,다느니,18,2.899854958921138e-06,0.9991922292908871,
559,께선,18,2.899854958921138e-06,0.9991951291458461,
560,젠,18,2.899854958921138e-06,0.999198029000805,
561,으려다,18,2.899854958921138e-06,0.999200928855764,
562,뿐이,18,2.899854958921138e-06,0.9992038287107229,
563,아지므로,18,2.899854958921138e-06,0.9992067285656818,
564,간,18,2.899854958921138e-06,0.9992096284206408,
565,윤,18,2.899854958921138e-06,0.9992125282755996,
566,실래요,18,2.899854958921138e-06,0.9992154281305585,
567,앙,18,2.899854958921138e-06,0.9992183279855175,
568,으련만,18,2.899854958921138e-06,0.9992212278404764,
569,러서는,18,2.899854958921138e-06,0.9992241276954353,
570,다나,18,2.899854958921138e-06,0.9992270275503943,
571,하,18,2.899854958921138e-06,0.9992299274053532,
572,민,17,2.7387519056477416e-06,0.9992326661572588,
573,믄,17,2.7387519056477416e-06,0.9992354049091645,
574,려느냐,17,2.7387519056477416e-06,0.9992381436610701,
575,으리니,17,2.7387519056477416e-06,0.9992408824129757,
576,으되,17,2.7387519056477416e-06,0.9992436211648814,
